Core: hps_sdram_p0 - Instance: u0|arm_a9_hps|hps_io|border|hps_sdram_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.809,0.767
"Bus Turnaround Time (Slow 1100mV 85C Model)",3.774,--
"Core (Slow 1100mV 85C Model)",2.563,0.143
"Core Recovery/Removal (Slow 1100mV 85C Model)",5.041,0.47
"DQS vs CK (Slow 1100mV 85C Model)",0.682,0.284
"Postamble (Slow 1100mV 85C Model)",0.803,0.803
"Read Capture (Slow 1100mV 85C Model)",0.386,0.338
"Write (Slow 1100mV 85C Model)",0.416,0.416
"Address Command (Slow 1100mV 0C Model)",0.808,0.753
"Bus Turnaround Time (Slow 1100mV 0C Model)",3.33,--
"Core (Slow 1100mV 0C Model)",2.56,0.162
"Core Recovery/Removal (Slow 1100mV 0C Model)",5.134,0.46
"DQS vs CK (Slow 1100mV 0C Model)",0.668,0.313
"Postamble (Slow 1100mV 0C Model)",0.475,0.475
"Read Capture (Slow 1100mV 0C Model)",0.373,0.326
"Write (Slow 1100mV 0C Model)",0.401,0.401
"Address Command (Slow 1100mV 0C Model)",0.808,0.753
"Bus Turnaround Time (Slow 1100mV 0C Model)",3.801,--
"Core (Slow 1100mV 0C Model)",2.56,0.162
"Core Recovery/Removal (Slow 1100mV 0C Model)",5.134,0.46
"DQS vs CK (Slow 1100mV 0C Model)",0.688,0.323
"Postamble (Slow 1100mV 0C Model)",0.79,0.79
"Read Capture (Slow 1100mV 0C Model)",0.402,0.355
"Write (Slow 1100mV 0C Model)",0.429,0.429
"Address Command (Fast 1100mV 85C Model)",0.912,0.751
"Bus Turnaround Time (Fast 1100mV 85C Model)",3.439,--
"Core (Fast 1100mV 85C Model)",2.943,0.084
"Core Recovery/Removal (Fast 1100mV 85C Model)",5.393,0.497
"DQS vs CK (Fast 1100mV 85C Model)",0.725,0.41
"Postamble (Fast 1100mV 85C Model)",0.591,0.591
"Read Capture (Fast 1100mV 85C Model)",0.493,0.446
"Write (Fast 1100mV 85C Model)",0.459,0.459
"Address Command (Fast 1100mV 85C Model)",0.912,0.751
"Bus Turnaround Time (Fast 1100mV 85C Model)",3.91,--
"Core (Fast 1100mV 85C Model)",2.943,0.084
"Core Recovery/Removal (Fast 1100mV 85C Model)",5.393,0.497
"DQS vs CK (Fast 1100mV 85C Model)",0.745,0.42
"Postamble (Fast 1100mV 85C Model)",0.902,0.902
"Read Capture (Fast 1100mV 85C Model)",0.523,0.475
"Write (Fast 1100mV 85C Model)",0.486,0.486
"Address Command (Fast 1100mV 0C Model)",0.897,0.766
"Bus Turnaround Time (Fast 1100mV 0C Model)",3.452,--
"Core (Fast 1100mV 0C Model)",2.943,0.077
"Core Recovery/Removal (Fast 1100mV 0C Model)",5.491,0.473
"DQS vs CK (Fast 1100mV 0C Model)",0.722,0.438
"Postamble (Fast 1100mV 0C Model)",0.596,0.596
"Read Capture (Fast 1100mV 0C Model)",0.494,0.446
"Write (Fast 1100mV 0C Model)",0.473,0.473
"Address Command (Fast 1100mV 0C Model)",0.897,0.766
"Bus Turnaround Time (Fast 1100mV 0C Model)",3.923,--
"Core (Fast 1100mV 0C Model)",2.943,0.077
"Core Recovery/Removal (Fast 1100mV 0C Model)",5.491,0.473
"DQS vs CK (Fast 1100mV 0C Model)",0.742,0.448
"Postamble (Fast 1100mV 0C Model)",0.908,0.908
"Read Capture (Fast 1100mV 0C Model)",0.523,0.476
"Write (Fast 1100mV 0C Model)",0.499,0.499
